selling price,no_of_bedrooms,has_servant_quarters,property_type,clean_location,zoning_tier
28000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
38000000,5.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
70250000,5.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
140000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
85000000,4.0,0,Villa,Malindi,Coastal Market Corridor
9500000,3.0,1,Villa,Ruiru,Kiambu/Thika_Road Corridor
19000000,5.0,1,Townhouse,Kikuyu,SatelliteTowns/Commuter Belt
155000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
20000000,3.0,0,Villa,Malindi,Coastal Market Corridor
20000000,4.0,0,Villa,Malindi,Coastal Market Corridor
38500000,4.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
5300000,3.0,0,Villa,Ongata Rongai,SatelliteTowns/Commuter Belt
8500000,4.0,0,Villa,Kikuyu,SatelliteTowns/Commuter Belt
29999000,4.0,1,Townhouse,Westlands,Premium Nairobi Suburbs
25000000,5.0,0,Townhouse,Kitengela,SatelliteTowns/Commuter Belt
72499999,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
7200000,3.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
90000000,4.0,0,Villa,Nyali,Coastal Market Corridor
6500000,3.0,0,Townhouse,Mtwapa,Coastal Market Corridor
26500000,3.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
17000000,4.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
64990000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
70000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
35000000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
28000000,5.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
30500000,5.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
17000000,3.0,0,Townhouse,Nyali,Coastal Market Corridor
100000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
29500000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
15500000,5.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
14500000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
7500000,3.0,0,Townhouse,Mtwapa,Coastal Market Corridor
20000000,3.0,0,Townhouse,Nyali,Coastal Market Corridor
65000000,4.0,0,Townhouse,Nyali,Coastal Market Corridor
27000000,4.0,0,Villa,Muthaiga,Premium Nairobi Suburbs
150000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
75000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
38000000,3.0,0,Townhouse,Kilimani,Premium Nairobi Suburbs
150000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
31500000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
27000000,4.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
24000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
16200000,3.0,0,Townhouse,Ngong,SatelliteTowns/Commuter Belt
6800000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
27000000,4.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
70000000,5.0,0,Villa,Nyali,Coastal Market Corridor
65000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
75000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
11500000,4.0,0,Townhouse,Kamulu/Joska/Eastern Bypass,SatelliteTowns/Commuter Belt
10300000,3.0,0,Villa,Embakasi / Eastlands,High Density Upcoming Suburbs
14000000,4.0,0,Townhouse,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
75000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
22500000,3.0,0,Villa,Other,Other_Unclassified
85000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
121000000,6.0,0,Villa,Lavington,Premium Nairobi Suburbs
7500000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
8850000,4.0,0,Townhouse,Athi River,SatelliteTowns/Commuter Belt
22500000,5.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
170000000,4.0,0,Villa,Muthaiga,Premium Nairobi Suburbs
59000000,5.0,0,Villa,Kileleshwa,Premium Nairobi Suburbs
55000000,4.0,0,Villa,Nyali,Coastal Market Corridor
99000000,5.0,1,Villa,Karen,Premium Nairobi Suburbs
7600000,3.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
83000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
75000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
35000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
20000000,5.0,0,Townhouse,Ruiru,Kiambu/Thika_Road Corridor
60000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
12500000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
31000000,5.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
70000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
121000000,6.0,1,Villa,Lavington,Premium Nairobi Suburbs
7700000,3.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
60000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
40000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
18500000,5.0,0,Townhouse,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
48000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
19500000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
60000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
74000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
45000000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
6500000,3.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
15500000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
75000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
22500000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
69000000,4.0,0,Villa,Nanyuki,Upcountry Luxury Zone
160000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
145000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
121000000,6.0,0,Villa,Lavington,Premium Nairobi Suburbs
7500000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
34000000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
38000000,4.0,0,Villa,Kilimani,Premium Nairobi Suburbs
13000000,3.0,0,Villa,Embakasi / Eastlands,High Density Upcoming Suburbs
7200000,3.0,1,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
90000000,4.0,1,Townhouse,Westlands,Premium Nairobi Suburbs
10500000,3.0,0,Townhouse,Ruiru,Kiambu/Thika_Road Corridor
48000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
21000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
70000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
17500000,4.0,0,Villa,Limuru/Tigoni,SatelliteTowns/Commuter Belt
30000000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
70000000,4.0,0,Villa,Nyali,Coastal Market Corridor
12600000,4.0,0,Townhouse,Ruiru,Kiambu/Thika_Road Corridor
13500000,3.0,1,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
64000000,6.0,0,Villa,Nyali,Coastal Market Corridor
16499000,5.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
95000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
65000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
25000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
56000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
13000000,3.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
60000000,3.0,0,Villa,Diani,Coastal Market Corridor
11950000,4.0,0,Villa,Mombasa,Coastal Market Corridor
22500000,8.0,0,Villa,Mtwapa,Coastal Market Corridor
6100000,3.0,0,Villa,Other,Other_Unclassified
12100000,3.0,0,Villa,Kikuyu,SatelliteTowns/Commuter Belt
24000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
26000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
9500000,3.0,0,Townhouse,Kikuyu,SatelliteTowns/Commuter Belt
11000000,3.0,0,Villa,Kisumu,Upcountry Luxury Zone
13500000,2.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
55000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
125000000,7.0,0,Villa,Karen,Premium Nairobi Suburbs
17000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
68000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
72000000,4.0,0,Villa,Nyali,Coastal Market Corridor
12600000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
14200000,4.0,0,Townhouse,Mtwapa,Coastal Market Corridor
100000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
8500000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
6750000,3.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
38000000,5.0,0,Villa,South C,High Density Upcoming Suburbs
75000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
63000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
55000000,3.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
12500000,3.0,0,Villa,Athi River,SatelliteTowns/Commuter Belt
14500000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
31500000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
90000000,5.0,0,Townhouse,Karen,Premium Nairobi Suburbs
22000000,3.0,0,Villa,Nyali,Coastal Market Corridor
15000000,4.0,0,Villa,Nyali,Coastal Market Corridor
6500000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
60000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
66000000,4.0,0,Villa,Lavington,Premium Nairobi Suburbs
6000000,3.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
150000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
10500000,3.0,0,Villa,Ongata Rongai,SatelliteTowns/Commuter Belt
70000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
90000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
95000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
9500000,3.0,0,Villa,Westlands,Premium Nairobi Suburbs
12500000,4.0,0,Townhouse,Ongata Rongai,SatelliteTowns/Commuter Belt
90000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
20000000,2.0,0,Villa,Kileleshwa,Premium Nairobi Suburbs
110000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
29000000,4.0,0,Villa,Thika,Kiambu/Thika_Road Corridor
95000000,4.0,0,Villa,Diani,Coastal Market Corridor
105000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
10500000,4.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
100000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
29000000,4.0,1,Villa,South C,High Density Upcoming Suburbs
25000000,5.0,1,Townhouse,Lang'ata,High Density Upcoming Suburbs
40000000,4.0,1,Villa,Limuru/Tigoni,SatelliteTowns/Commuter Belt
135000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
6500000,3.0,0,Villa,Thika,Kiambu/Thika_Road Corridor
100000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
16500000,4.0,0,Villa,Limuru/Tigoni,SatelliteTowns/Commuter Belt
10500000,3.0,0,Villa,Embakasi / Eastlands,High Density Upcoming Suburbs
12000000,5.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
26000000,2.0,0,Villa,Watamu,Coastal Market Corridor
72000000,3.0,0,Townhouse,Malindi,Coastal Market Corridor
48000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
35000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
11000000,3.0,0,Townhouse,Athi River,SatelliteTowns/Commuter Belt
45000000,5.0,0,Townhouse,Nyali,Coastal Market Corridor
58000000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
75000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
6500000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
150000000,4.0,0,Villa,Mombasa,Coastal Market Corridor
29000000,4.0,0,Townhouse,Kilimani,Premium Nairobi Suburbs
56000000,4.0,0,Villa,Nyali,Coastal Market Corridor
4500000,3.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
14000000,3.0,1,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
38000000,4.0,0,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
55000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
13000000,3.0,0,Townhouse,South B,High Density Upcoming Suburbs
45000000,2.0,0,Villa,Diani,Coastal Market Corridor
30000000,4.0,1,Townhouse,Kilimani,Premium Nairobi Suburbs
10500000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
100000000,5.0,0,Townhouse,Karen,Premium Nairobi Suburbs
30500000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
28000000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
80000000,4.0,0,Villa,Lavington,Premium Nairobi Suburbs
5700000,3.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
31000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
26500000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
17500000,4.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
35000000,3.0,0,Townhouse,Kilimani,Premium Nairobi Suburbs
33000000,3.0,0,Villa,Diani,Coastal Market Corridor
35000000,6.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
26000000,4.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
135000000,6.0,0,Villa,Lavington,Premium Nairobi Suburbs
14000000,3.0,0,Villa,Naivasha,Upcountry Luxury Zone
75000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
18500000,4.0,1,Townhouse,Ngong,SatelliteTowns/Commuter Belt
50000000,5.0,0,Villa,Kilimani,Premium Nairobi Suburbs
67000000,4.0,1,Townhouse,Lavington,Premium Nairobi Suburbs
150000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
29000000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
30000000,4.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
38500000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
75000000,3.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
45000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
27500000,3.0,0,Villa,Malindi,Coastal Market Corridor
67500000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
7800000,3.0,0,Villa,Kikuyu,SatelliteTowns/Commuter Belt
12500000,4.0,0,Townhouse,Ngong,SatelliteTowns/Commuter Belt
25945000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
20000000,6.0,0,Villa,Other,Other_Unclassified
23000000,4.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
24000000,4.0,0,Townhouse,South C,High Density Upcoming Suburbs
105000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
99000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
17000000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
65000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
23000000,5.0,0,Townhouse,Ngong,SatelliteTowns/Commuter Belt
37000000,4.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
17000000,4.0,0,Townhouse,Kitengela,SatelliteTowns/Commuter Belt
125000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
15000000,6.0,0,Villa,Other,Other_Unclassified
43000000,3.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
130000000,7.0,0,Villa,Westlands,Premium Nairobi Suburbs
61950000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
130000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
24500000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
20000000,4.0,0,Villa,Mtwapa,Coastal Market Corridor
7200000,3.0,0,Townhouse,Kitengela,SatelliteTowns/Commuter Belt
87000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
13000000,3.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
28000000,4.0,0,Townhouse,Kiambu Road,Kiambu/Thika_Road Corridor
60000000,5.0,0,Townhouse,Kileleshwa,Premium Nairobi Suburbs
55000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
13500000,3.0,0,Villa,Nyali,Coastal Market Corridor
128000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
39000000,5.0,1,Townhouse,Westlands,Premium Nairobi Suburbs
12000000,3.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
75000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
85000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
75000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
37500000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
33000000,4.0,0,Villa,Nyali,Coastal Market Corridor
6300000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
19000000,3.0,1,Townhouse,South C,High Density Upcoming Suburbs
8500000,3.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
6000000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
150000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
55000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
20000000,5.0,0,Townhouse,Ruiru,Kiambu/Thika_Road Corridor
11950000,4.0,0,Villa,Mombasa,Coastal Market Corridor
7000000,3.0,0,Villa,Ongata Rongai,SatelliteTowns/Commuter Belt
12000000,4.0,0,Townhouse,Thika,Kiambu/Thika_Road Corridor
160000000,5.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
10500000,4.0,0,Villa,Ruiru,Kiambu/Thika_Road Corridor
8000000,3.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
80000000,5.0,0,Villa,Lavington,Premium Nairobi Suburbs
40000000,4.0,1,Townhouse,Lavington,Premium Nairobi Suburbs
121000000,6.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
5800000,3.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
78000000,6.0,0,Villa,Nyali,Coastal Market Corridor
13800000,4.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
120000000,6.0,0,Villa,Karen,Premium Nairobi Suburbs
14500000,4.0,0,Townhouse,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
83000000,4.0,0,Villa,Westlands,Premium Nairobi Suburbs
90000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
60000000,4.0,0,Villa,Roysambu Area,High Density Upcoming Suburbs
85000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
19250000,2.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
8150000,3.0,1,Villa,Kamulu/Joska/Eastern Bypass,SatelliteTowns/Commuter Belt
48000000,5.0,0,Villa,Kileleshwa,Premium Nairobi Suburbs
165000000,4.0,0,Villa,Naivasha,Upcountry Luxury Zone
70000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
65000000,5.0,0,Villa,Kileleshwa,Premium Nairobi Suburbs
110000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
85000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
88000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
12500000,3.0,0,Villa,Ngong,SatelliteTowns/Commuter Belt
155000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
23000000,4.0,0,Villa,Kitengela,SatelliteTowns/Commuter Belt
12300000,3.0,0,Townhouse,Kitengela,SatelliteTowns/Commuter Belt
100000000,6.0,0,Villa,Westlands,Premium Nairobi Suburbs
100000000,5.0,0,Villa,Karen,Premium Nairobi Suburbs
25000000,3.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
8500000,3.0,0,Townhouse,Mtwapa,Coastal Market Corridor
13000000,4.0,0,Townhouse,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
26500000,4.0,0,Villa,Lang'ata,High Density Upcoming Suburbs
14500000,4.0,0,Townhouse,Ngong,SatelliteTowns/Commuter Belt
14750000,4.0,0,Townhouse,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
29990000,4.0,0,Villa,Malindi,Coastal Market Corridor
7200000,3.0,1,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
41000000,4.0,0,Townhouse,Westlands,Premium Nairobi Suburbs
68000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
45000000,4.0,0,Villa,Mombasa,Coastal Market Corridor
145000000,6.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
37500000,4.0,0,Villa,South C,High Density Upcoming Suburbs
15000000,4.0,0,Townhouse,Kikuyu,SatelliteTowns/Commuter Belt
40750000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
36000000,6.0,0,Townhouse,Ongata Rongai,SatelliteTowns/Commuter Belt
50000000,5.0,0,Villa,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
140000000,4.0,0,Villa,Karen,Premium Nairobi Suburbs
15500000,4.0,1,Villa,Juja / Kenyatta Road,Kiambu/Thika_Road Corridor
105000000,5.0,0,Villa,Westlands,Premium Nairobi Suburbs
10250000,3.0,0,Villa,Athi River,SatelliteTowns/Commuter Belt
170000000,4.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
14000000,3.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
32000000,4.0,0,Townhouse,South C,High Density Upcoming Suburbs
15000000,4.0,0,Townhouse,Ruiru,Kiambu/Thika_Road Corridor
78000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
7250000,3.0,0,Townhouse,Mombasa Road / Syokimau,SatelliteTowns/Commuter Belt
68000000,4.0,0,Townhouse,Karen,Premium Nairobi Suburbs
45000000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
10000000,3.0,0,Villa,Kikuyu,SatelliteTowns/Commuter Belt
50000000,5.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
65000000,4.0,0,Villa,Kiambu Road,Kiambu/Thika_Road Corridor
28500000,4.0,0,Villa,South B,High Density Upcoming Suburbs
65000000,3.0,0,Villa,Mtwapa,Coastal Market Corridor
67000000,4.0,0,Townhouse,Lavington,Premium Nairobi Suburbs
55000000,4.0,0,Villa,Mombasa,Coastal Market Corridor
17500000,3.0,0,Villa,Kilifi/kikambala/Mtwapa,Coastal Market Corridor
85000000,4.0,0,Townhouse,Muthaiga,Premium Nairobi Suburbs
